"filename", "language", "JavaScript", "Batch", "TypeScript", "JSON with Comments", "JSON", "HTML", "CSS", "Markdown", "YAML", "XML", "JavaScript React", "comment", "blank", "total"
"c:\RiskEstimationRecorder\software\source\.meteor\lib\router.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 29
"c:\RiskEstimationRecorder\software\source\.vs\VSWorkspaceState.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\RiskEstimationRecorder\software\source\both\i18n\de-DE.i18n.json", "JSON", 0, 0, 0, 0, 324, 0, 0, 0, 0, 0, 0, 0, 0, 324
"c:\RiskEstimationRecorder\software\source\both\i18n\en-US.i18n.json", "JSON", 0, 0, 0, 0, 326, 0, 0, 0, 0, 0, 0, 0, 0, 326
"c:\RiskEstimationRecorder\software\source\both\main.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\RiskEstimationRecorder\software\source\client\Container\ClientContainerBuilder.ts", "TypeScript", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 12, 29, 185
"c:\RiskEstimationRecorder\software\source\client\main.html", "HTML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 40, 5, 56
"c:\RiskEstimationRecorder\software\source\client\main.js", "JavaScript", 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 48, 255
"c:\RiskEstimationRecorder\software\source\client\requireAuth.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30
"c:\RiskEstimationRecorder\software\source\client\stylesheets\custom.css", "CSS", 0, 0, 0, 0, 0, 0, 329, 0, 0, 0, 0, 20, 40, 389
"c:\RiskEstimationRecorder\software\source\client\stylesheets\font-awesome.css", "CSS", 0, 0, 0, 0, 0, 0, 2189, 0, 0, 0, 0, 10, 1, 2200
"c:\RiskEstimationRecorder\software\source\client\stylesheets\font-awesome.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 1, 5
"c:\RiskEstimationRecorder\software\source\client\stylesheets\jquery-ui.css", "CSS", 0, 0, 0, 0, 0, 0, 1222, 0, 0, 0, 0, 48, 43, 1313
"c:\RiskEstimationRecorder\software\source\client\stylesheets\jquery-ui.structure.css", "CSS", 0, 0, 0, 0, 0, 0, 821, 0, 0, 0, 0, 36, 30, 887
"c:\RiskEstimationRecorder\software\source\client\stylesheets\jquery-ui.theme.css", "CSS", 0, 0, 0, 0, 0, 0, 401, 0, 0, 0, 0, 29, 14, 444
